municipio,uf,regiao,ano,meta,target
Restinga Seca,RS,Sul,2024,51.07,0
Padre Paraíso,MG,Sudeste,2024,54.04,1
Vila Nova do Sul,RS,Sul,2024,54.11,0
Banzaê,BA,Nordeste,2024,46.98,0
Jitaúna,BA,Nordeste,2024,31.37,1
São Domingos,GO,Centro-Oeste,2024,51.24,1
Montenegro,RS,Sul,2024,68.22,0
Santa Maria,RS,Sul,2024,67.72,0
Monte Alegre,PA,Norte,2024,58.27,0
Piraquara,PR,Sul,2024,61.92,0
Barra do Quaraí,RS,Sul,2024,64.15,0
Itapé,BA,Nordeste,2024,37.65,0
Ibirataia,BA,Nordeste,2024,39.72,0
Tacaimbó,PE,Nordeste,2024,51.45,0
Porciúncula,RJ,Sudeste,2024,42.11,1
Mundo Novo,MS,Centro-Oeste,2024,80.0,0
São Lourenço da Mata,PE,Nordeste,2024,49.84,1
Cândido Sales,BA,Nordeste,2024,44.57,0
São João do Tigre,PB,Nordeste,2024,43.34,1
Chuí,RS,Sul,2024,54.93,0
Rio Preto,MG,Sudeste,2024,72.56,0
Alto Alegre do Maranhão,MA,Nordeste,2024,71.78,0
São Bento do Una,PE,Nordeste,2024,59.89,1
União de Minas,MG,Sudeste,2024,73.46,0
Cipó,BA,Nordeste,2024,35.07,0
Glorinha,RS,Sul,2024,67.53,0
Tupaciguara,MG,Sudeste,2024,45.41,1
Ariquemes,RO,Norte,2024,65.22,1
Cabeceira Grande,MG,Sudeste,2024,46.7,1
Rio do Pires,BA,Nordeste,2024,43.13,0
Maceió,AL,Nordeste,2024,45.58,0
Tucano,BA,Nordeste,2024,36.12,0
Contendas do Sincorá,BA,Nordeste,2024,31.22,1
Neópolis,SE,Nordeste,2024,28.33,1
Chã de Alegria,PE,Nordeste,2024,65.79,0
Humaitá,AM,Norte,2024,55.15,1
Esperança Nova,PR,Sul,2024,48.13,1
Doutor Camargo,PR,Sul,2024,79.25,0
Senador Rui Palmeira,AL,Nordeste,2024,56.54,1
Minador do Negrão,AL,Nordeste,2024,37.11,0
Uruçuca,BA,Nordeste,2024,37.1,0
Maceió,AL,Nordeste,2024,45.58,0
Morro Reuter,RS,Sul,2024,56.24,1
Rubim,MG,Sudeste,2024,80.0,0
Saquarema,RJ,Sudeste,2024,66.24,0
Rosário do Catete,SE,Nordeste,2024,45.54,0
Santa Maria,RS,Sul,2024,67.72,0
Maceió,AL,Nordeste,2024,45.58,0
São Bernardo,MA,Nordeste,2024,75.28,0
Campestre,AL,Nordeste,2024,47.36,1
Malhada,BA,Nordeste,2024,32.45,1
Corumbiara,RO,Norte,2024,61.82,1
Ponte Alta,SC,Sul,2024,47.14,1
Anahy,PR,Sul,2024,65.3,1
Tabaí,RS,Sul,2024,63.05,0
Francisco Ayres,PI,Nordeste,2024,52.61,0
Mundo Novo,BA,Nordeste,2024,33.82,0
Taquara,RS,Sul,2024,66.57,0
Dourados,MS,Centro-Oeste,2024,46.65,1
São Miguel das Missões,RS,Sul,2024,76.86,0
Carpina,PE,Nordeste,2024,67.68,0
Machadinho D'Oeste,RO,Norte,2024,56.12,1
Godofredo Viana,MA,Nordeste,2024,80.0,1
Arapiraca,AL,Nordeste,2024,45.77,0
Igreja Nova,AL,Nordeste,2024,53.17,0
Capão do Leão,RS,Sul,2024,53.81,0
São Leopoldo,RS,Sul,2024,60.83,0
Brejolândia,BA,Nordeste,2024,47.23,0
Jaramataia,AL,Nordeste,2024,42.72,0
Guatambú,SC,Sul,2024,50.17,0
Codó,MA,Nordeste,2024,52.32,0
Axixá do Tocantins,TO,Norte,2024,37.42,1
São Sebastião do Umbuzeiro,PB,Nordeste,2024,80.0,0
Fronteira dos Vales,MG,Sudeste,2024,43.82,1
Erval Seco,RS,Sul,2024,69.44,0
Quedas do Iguaçu,PR,Sul,2024,73.0,0
Marliéria,MG,Sudeste,2024,64.77,1
Ribeira do Piauí,PI,Nordeste,2024,61.44,0
Riachuelo,SE,Nordeste,2024,17.27,1
Dom Basílio,BA,Nordeste,2024,53.52,0
Novo Brasil,GO,Centro-Oeste,2024,80.0,0
Amorinópolis,GO,Centro-Oeste,2024,72.21,1
Macaé,RJ,Sudeste,2024,63.19,0
Virgolândia,MG,Sudeste,2024,80.0,0
Urucará,AM,Norte,2024,60.83,1
Cruz das Almas,BA,Nordeste,2024,41.43,0
Uauá,BA,Nordeste,2024,50.59,0
Barão de Grajaú,MA,Nordeste,2024,47.68,1
Brejinho de Nazaré,TO,Norte,2024,44.57,1
Abel Figueiredo,PA,Norte,2024,63.15,0
Bezerros,PE,Nordeste,2024,56.18,1
Francisco Sá,MG,Sudeste,2024,47.71,1
Alvorada D'Oeste,RO,Norte,2024,36.33,1
Alto Alegre dos Parecis,RO,Norte,2024,71.19,1
Viamão,RS,Sul,2024,62.36,0
Viana,MA,Nordeste,2024,61.88,0
São Luís do Quitunde,AL,Nordeste,2024,45.9,1
Palmeirina,PE,Nordeste,2024,63.78,0
Belém de Maria,PE,Nordeste,2024,72.62,1
Codajás,AM,Norte,2024,49.49,0
Salvador do Sul,RS,Sul,2024,80.0,0
Caetité,BA,Nordeste,2024,54.21,0
Belém,PA,Norte,2024,53.42,1
Cidade Gaúcha,PR,Sul,2024,67.22,0
Lindolfo Collor,RS,Sul,2024,69.56,0
São José do Povo,MT,Centro-Oeste,2024,80.0,0
Água Branca,AL,Nordeste,2024,52.49,0
Jesuítas,PR,Sul,2024,80.0,1
Abelardo Luz,SC,Sul,2024,67.3,0
Cacoal,RO,Norte,2024,65.39,1
Biquinhas,MG,Sudeste,2024,80.0,0
Ibitiara,BA,Nordeste,2024,65.11,0
Olho d'Água das Flores,AL,Nordeste,2024,46.38,0
Boa Ventura de São Roque,PR,Sul,2024,75.58,0
Nova Cantu,PR,Sul,2024,79.57,1
João Câmara,RN,Nordeste,2024,29.74,1
Espigão D'Oeste,RO,Norte,2024,80.0,0
Mirabela,MG,Sudeste,2024,62.46,0
Grandes Rios,PR,Sul,2024,67.46,0
Bacuri,MA,Nordeste,2024,69.66,0
Urucará,AM,Norte,2024,60.83,1
Pedrão,BA,Nordeste,2024,27.85,0
Aroazes,PI,Nordeste,2024,61.39,0
Bom Jesus da Serra,BA,Nordeste,2024,47.9,0
São José do Sabugi,PB,Nordeste,2024,56.21,0
Ibarama,RS,Sul,2024,72.44,0
Pindaí,BA,Nordeste,2024,72.46,0
Mimoso de Goiás,GO,Centro-Oeste,2024,68.83,1
Conceição das Pedras,MG,Sudeste,2024,61.58,1
Aperibé,RJ,Sudeste,2024,62.76,1
Lábrea,AM,Norte,2024,66.9,1
Guaribas,PI,Nordeste,2024,61.72,1
Santa Vitória do Palmar,RS,Sul,2024,59.99,0
Abelardo Luz,SC,Sul,2024,67.3,0
Araruama,RJ,Sudeste,2024,55.66,1
Senador Amaral,MG,Sudeste,2024,71.75,0
Paranaguá,PR,Sul,2024,64.89,0
Presidente Médici,RO,Norte,2024,65.31,1
Itambé,PE,Nordeste,2024,53.71,0
Nova Alvorada do Sul,MS,Centro-Oeste,2024,43.79,1
Além Paraíba,MG,Sudeste,2024,70.71,0
São Felipe D'Oeste,RO,Norte,2024,57.76,1
Lagoa do Piauí,PI,Nordeste,2024,11.95,1
Nossa Senhora de Lourdes,SE,Nordeste,2024,26.18,1
Chã Grande,PE,Nordeste,2024,59.42,0
Jataizinho,PR,Sul,2024,65.3,0
Rosário do Sul,RS,Sul,2024,41.94,0
Campo Magro,PR,Sul,2024,63.18,0
Delfinópolis,MG,Sudeste,2024,79.34,0
Pedro do Rosário,MA,Nordeste,2024,68.13,0
Cacoal,RO,Norte,2024,65.39,1
Guaíba,RS,Sul,2024,54.7,0
São Lourenço do Sul,RS,Sul,2024,79.22,0
Arroio dos Ratos,RS,Sul,2024,46.7,0
Rosário do Sul,RS,Sul,2024,41.94,0
Paraíba do Sul,RJ,Sudeste,2024,54.89,0
Carazinho,RS,Sul,2024,66.52,0
Manacapuru,AM,Norte,2024,49.77,0
Itapecuru Mirim,MA,Nordeste,2024,57.76,1
Minas do Leão,RS,Sul,2024,74.31,0
Canápolis,BA,Nordeste,2024,43.85,0
São Leopoldo,RS,Sul,2024,60.83,0
Piratini,RS,Sul,2024,63.34,0
Itajuípe,BA,Nordeste,2024,41.18,0
Cerro Grande do Sul,RS,Sul,2024,61.22,0
Medicilândia,PA,Norte,2024,54.08,0
Mariluz,PR,Sul,2024,65.33,0
Pirapetinga,MG,Sudeste,2024,65.52,1
Gurinhém,PB,Nordeste,2024,41.85,0
Rosário do Sul,RS,Sul,2024,41.94,0
Terenos,MS,Centro-Oeste,2024,63.66,0
Campos Borges,RS,Sul,2024,33.67,1
Parobé,RS,Sul,2024,61.51,0
Bujaru,PA,Norte,2024,56.12,0
Tabatinga,AM,Norte,2024,47.62,1
São José do Vale do Rio Preto,RJ,Sudeste,2024,72.76,1
Mostardas,RS,Sul,2024,56.1,0
Santa Cecília,SC,Sul,2024,68.59,0
José Boiteux,SC,Sul,2024,43.68,1
Itaiópolis,SC,Sul,2024,67.88,0
Zabelê,PB,Nordeste,2024,80.0,0
Alagoa Grande,PB,Nordeste,2024,38.31,0
Canela,RS,Sul,2024,78.87,0
Pedra Bonita,MG,Sudeste,2024,64.45,1
Grajaú,MA,Nordeste,2024,48.35,0
São Sebastião do Alto,RJ,Sudeste,2024,66.38,0
São Nicolau,RS,Sul,2024,61.56,0
São Francisco de Assis do Piauí,PI,Nordeste,2024,40.51,0
Diamante,PB,Nordeste,2024,32.22,1
Xangri-lá,RS,Sul,2024,60.68,0
Paulo Lopes,SC,Sul,2024,65.85,0
Ilópolis,RS,Sul,2024,80.0,0
Sirinhaém,PE,Nordeste,2024,63.56,1
Antônio Olinto,PR,Sul,2024,80.0,1
Coronel Pacheco,MG,Sudeste,2024,80.0,0
Benevides,PA,Norte,2024,63.8,1
Petrópolis,RJ,Sudeste,2024,65.4,0
Governador Edison Lobão,MA,Nordeste,2024,80.0,0
Sertanópolis,PR,Sul,2024,68.91,0
Santana,BA,Nordeste,2024,37.01,1
Espumoso,RS,Sul,2024,80.0,0
Quaraí,RS,Sul,2024,58.95,0
Sombrio,SC,Sul,2024,67.39,0
Manga,MG,Sudeste,2024,31.24,1
Colinas,MA,Nordeste,2024,62.9,0
Monte Alegre de Sergipe,SE,Nordeste,2024,31.99,1
São José do Ouro,RS,Sul,2024,65.42,0
Macarani,BA,Nordeste,2024,54.13,0
Camaragibe,PE,Nordeste,2024,62.2,0
Itinga,MG,Sudeste,2024,56.85,1
Floresta,PE,Nordeste,2024,40.31,1
Benevides,PA,Norte,2024,63.8,1
Serra da Raiz,PB,Nordeste,2024,24.28,1
Taquara,RS,Sul,2024,66.57,0
Jaçanã,RN,Nordeste,2024,52.38,0
Carauari,AM,Norte,2024,52.7,1
Nova Olinda,TO,Norte,2024,32.67,1
Theobroma,RO,Norte,2024,55.53,1
Tramandaí,RS,Sul,2024,58.64,0
Vitória da Conquista,BA,Nordeste,2024,53.11,0
Penedo,AL,Nordeste,2024,47.02,0
Medeiros Neto,BA,Nordeste,2024,56.17,0
Limoeiro do Ajuru,PA,Norte,2024,52.92,0
Guia Lopes da Laguna,MS,Centro-Oeste,2024,52.3,1
Nanuque,MG,Sudeste,2024,56.6,1
Porto Amazonas,PR,Sul,2024,71.41,1
Itumirim,MG,Sudeste,2024,62.66,1
Alvarães,AM,Norte,2024,46.19,1
Santo Antônio do Jacinto,MG,Sudeste,2024,65.75,0
Rio Brilhante,MS,Centro-Oeste,2024,46.43,1
São Caitano,PE,Nordeste,2024,50.74,1
Jaíba,MG,Sudeste,2024,48.75,1
Candeias do Jamari,RO,Norte,2024,54.05,0
Lagoa de Velhos,RN,Nordeste,2024,47.75,0
Passa e Fica,RN,Nordeste,2024,31.79,1
Abreulândia,TO,Norte,2024,65.03,1
Flores do Piauí,PI,Nordeste,2024,52.23,0
Planaltino,BA,Nordeste,2024,58.12,0
União do Oeste,SC,Sul,2024,69.44,0
Caetanos,BA,Nordeste,2024,32.08,1
Nacip Raydan,MG,Sudeste,2024,62.21,1
Barreiras do Piauí,PI,Nordeste,2024,44.83,1
Jateí,MS,Centro-Oeste,2024,68.83,0
Colinas do Sul,GO,Centro-Oeste,2024,65.56,0
São Gonçalo do Gurguéia,PI,Nordeste,2024,77.0,0
Bom Jardim de Minas,MG,Sudeste,2024,52.98,1
Pio XII,MA,Nordeste,2024,32.07,1
Taquarana,AL,Nordeste,2024,49.8,0
Tapes,RS,Sul,2024,62.14,0
Maripá,PR,Sul,2024,80.0,0
Poção de Pedras,MA,Nordeste,2024,80.0,0
Peri Mirim,MA,Nordeste,2024,42.07,1
Santa Cruz de Minas,MG,Sudeste,2024,66.51,0
Bodoquena,MS,Centro-Oeste,2024,50.32,0
Vitória de Santo Antão,PE,Nordeste,2024,51.59,0
Águas Lindas de Goiás,GO,Centro-Oeste,2024,54.0,0
Vila Pavão,ES,Sudeste,2024,75.41,0
Lajedo,PE,Nordeste,2024,52.98,1
Bento Gonçalves,RS,Sul,2024,77.77,0
Adustina,BA,Nordeste,2024,50.37,0
Mutuípe,BA,Nordeste,2024,61.96,0
Itabaianinha,SE,Nordeste,2024,62.52,0
Califórnia,PR,Sul,2024,80.0,0
Ibicoara,BA,Nordeste,2024,35.04,0
Vacaria,RS,Sul,2024,68.24,0
Sant'Ana do Livramento,RS,Sul,2024,54.72,0
Amargosa,BA,Nordeste,2024,55.84,0
Floraí,PR,Sul,2024,77.73,1
Buriti Bravo,MA,Nordeste,2024,38.42,1
Santa Inês,MA,Nordeste,2024,52.49,0
Bom Jesus do Norte,ES,Sudeste,2024,69.22,0
Ibimirim,PE,Nordeste,2024,55.58,1
Mato Verde,MG,Sudeste,2024,70.78,0
Bom Jardim da Serra,SC,Sul,2024,46.82,0
Carnaúba dos Dantas,RN,Nordeste,2024,67.88,0
Humaitá,AM,Norte,2024,55.15,1
Encruzilhada do Sul,RS,Sul,2024,66.52,0
Sobradinho,RS,Sul,2024,80.0,0
Uruguaiana,RS,Sul,2024,64.39,0
Feira Grande,AL,Nordeste,2024,41.94,1
Candói,PR,Sul,2024,74.4,0
Matinhos,PR,Sul,2024,71.91,0
Bocaina de Minas,MG,Sudeste,2024,54.93,1
Lajeado,TO,Norte,2024,46.67,0
São Borja,RS,Sul,2024,67.78,0
Orleans,SC,Sul,2024,68.14,1
Antas,BA,Nordeste,2024,49.89,0
Santa Inês,PB,Nordeste,2024,57.18,0
São Gabriel,RS,Sul,2024,64.25,0
Jangada,MT,Centro-Oeste,2024,59.89,0
Viçosa,MG,Sudeste,2024,65.52,1
Conceição da Barra de Minas,MG,Sudeste,2024,70.55,0
Porto Calvo,AL,Nordeste,2024,43.17,1
Irecê,BA,Nordeste,2024,48.05,0
Borba,AM,Norte,2024,35.51,1
Dom Eliseu,PA,Norte,2024,62.75,1
Itaipé,MG,Sudeste,2024,61.22,0
Novo Hamburgo,RS,Sul,2024,65.27,0
Novo Hamburgo,RS,Sul,2024,65.27,0
Andaraí,BA,Nordeste,2024,50.48,0
Novo Hamburgo,RS,Sul,2024,65.27,0
Ibiporã,PR,Sul,2024,74.39,0
Pedro Osório,RS,Sul,2024,69.69,0
Ladário,MS,Centro-Oeste,2024,32.39,1
Taquara,RS,Sul,2024,66.57,0
Cachoeirinha,RS,Sul,2024,61.68,0
Itaobim,MG,Sudeste,2024,54.67,0
Foz do Jordão,PR,Sul,2024,80.0,0
Santa Cruz da Vitória,BA,Nordeste,2024,50.76,0
Cristália,MG,Sudeste,2024,33.57,1
Picada Café,RS,Sul,2024,80.0,0
Porangatu,GO,Centro-Oeste,2024,56.34,0
São Francisco do Guaporé,RO,Norte,2024,68.1,0
Itambacuri,MG,Sudeste,2024,56.29,1
Gentio do Ouro,BA,Nordeste,2024,50.71,1
Juramento,MG,Sudeste,2024,65.99,0
Anamã,AM,Norte,2024,40.16,1
Lunardelli,PR,Sul,2024,61.2,1
Sertão,RS,Sul,2024,63.15,0
Jequitibá,MG,Sudeste,2024,57.0,1
Humaitá,AM,Norte,2024,55.15,1
Conceição do Lago-Açu,MA,Nordeste,2024,49.69,1
Santo Antônio do Aventureiro,MG,Sudeste,2024,80.0,0
Alto Bela Vista,SC,Sul,2024,80.0,1
Santana do Ipanema,AL,Nordeste,2024,41.57,1
Giruá,RS,Sul,2024,76.85,0
Nova Bassano,RS,Sul,2024,78.22,0
Serra dos Aimorés,MG,Sudeste,2024,56.46,1
Água Santa,RS,Sul,2024,67.13,0
Laranjeiras do Sul,PR,Sul,2024,73.37,0
Candeias,BA,Nordeste,2024,39.6,0
Penedo,AL,Nordeste,2024,47.02,0
Itaocara,RJ,Sudeste,2024,67.71,1
Paulo Frontin,PR,Sul,2024,80.0,1
Tapes,RS,Sul,2024,62.14,0
Iaras,SP,Sudeste,2024,48.52,0
Constantina,RS,Sul,2024,80.0,0
Palmeirante,TO,Norte,2024,14.38,1
Rio Acima,MG,Sudeste,2024,46.93,1
Ibirajuba,PE,Nordeste,2024,45.68,1
Araioses,MA,Nordeste,2024,60.17,0
Barra do Ribeiro,RS,Sul,2024,70.43,0
Lebon Régis,SC,Sul,2024,47.04,1
Barra da Estiva,BA,Nordeste,2024,52.87,0
São Pedro da Serra,RS,Sul,2024,80.0,0
Colombo,PR,Sul,2024,67.38,0
Barcelos,AM,Norte,2024,53.75,1
União,PI,Nordeste,2024,34.02,1
Valença,RJ,Sudeste,2024,61.95,0
Cujubim,RO,Norte,2024,77.84,0
Loanda,PR,Sul,2024,73.6,1
Cacoal,RO,Norte,2024,65.39,1
Joaquim Gomes,AL,Nordeste,2024,40.35,0
Água Nova,RN,Nordeste,2024,40.19,0
Carneirinho,MG,Sudeste,2024,56.8,1
Eldorado,MS,Centro-Oeste,2024,76.1,0
Ibimirim,PE,Nordeste,2024,55.58,1
Caém,BA,Nordeste,2024,42.1,0
Arroio dos Ratos,RS,Sul,2024,46.7,0
Sarandi,PR,Sul,2024,61.63,0
Itaú,RN,Nordeste,2024,57.42,0
Bossoroca,RS,Sul,2024,54.93,0
São José de Mipibu,RN,Nordeste,2024,41.43,0
Parobé,RS,Sul,2024,61.51,0
Areia Branca,SE,Nordeste,2024,34.29,1
Igrejinha,RS,Sul,2024,80.0,0
Palmares do Sul,RS,Sul,2024,57.88,0
Arapoti,PR,Sul,2024,76.12,0
São Gabriel do Oeste,MS,Centro-Oeste,2024,56.9,1
Xambrê,PR,Sul,2024,74.79,0
Umuarama,PR,Sul,2024,66.74,0
Lages,SC,Sul,2024,53.71,0
Arinos,MG,Sudeste,2024,50.89,0
Tapauá,AM,Norte,2024,54.31,0
Londrina,PR,Sul,2024,74.82,0
Santa Luzia D'Oeste,RO,Norte,2024,76.7,1
Taipu,RN,Nordeste,2024,43.17,0
Canarana,MT,Centro-Oeste,2024,39.4,1
Maragogi,AL,Nordeste,2024,39.36,1
Cândido Mendes,MA,Nordeste,2024,64.65,0
Ouro Preto do Oeste,RO,Norte,2024,73.58,0
Jaquirana,RS,Sul,2024,70.35,0
Torre de Pedra,SP,Sudeste,2024,40.22,0
Jaguaruna,SC,Sul,2024,48.39,1
Divinésia,MG,Sudeste,2024,48.91,1
Urucará,AM,Norte,2024,60.83,1
Novo Horizonte do Oeste,RO,Norte,2024,73.7,0
Nhamundá,AM,Norte,2024,67.18,0
Constantina,RS,Sul,2024,80.0,0
Januária,MG,Sudeste,2024,27.24,1
Monte Santo de Minas,MG,Sudeste,2024,48.17,1
Nossa Senhora da Glória,SE,Nordeste,2024,36.66,1
Telêmaco Borba,PR,Sul,2024,65.96,0
Caputira,MG,Sudeste,2024,62.8,1
Apuí,AM,Norte,2024,60.64,1
Caiçara do Rio do Vento,RN,Nordeste,2024,44.52,0
Boa Nova,BA,Nordeste,2024,49.97,0
Sombrio,SC,Sul,2024,67.39,0
Santana do Araguaia,PA,Norte,2024,58.75,0
Serrita,PE,Nordeste,2024,58.07,1
Caraí,MG,Sudeste,2024,48.07,1
Vale do Sol,RS,Sul,2024,80.0,0
Almas,TO,Norte,2024,22.65,1
Barão de Cocais,MG,Sudeste,2024,62.28,1
Aceguá,RS,Sul,2024,71.55,0
Itatuba,PB,Nordeste,2024,30.53,1
Tremedal,BA,Nordeste,2024,54.5,0
Benedito Leite,MA,Nordeste,2024,59.98,0
Porto Real,RJ,Sudeste,2024,63.97,0
Capão do Leão,RS,Sul,2024,53.81,0
Bayeux,PB,Nordeste,2024,40.74,0
Laguna,SC,Sul,2024,40.16,0
Pureza,RN,Nordeste,2024,42.59,0
Natividade,TO,Norte,2024,35.38,1
Óbidos,PA,Norte,2024,53.94,1
São José do Calçado,ES,Sudeste,2024,75.36,0
Barracão,PR,Sul,2024,73.73,1
Rio Verde de Mato Grosso,MS,Centro-Oeste,2024,52.63,0
Maracaju,MS,Centro-Oeste,2024,46.82,0
Santa Cruz de Monte Castelo,PR,Sul,2024,80.0,0
Canaã dos Carajás,PA,Norte,2024,65.05,1
Dilermando de Aguiar,RS,Sul,2024,69.35,0
Porto,PI,Nordeste,2024,46.38,0
Calçoene,AP,Norte,2024,41.81,0
Boa Ventura,PB,Nordeste,2024,35.73,1
São Gabriel do Oeste,MS,Centro-Oeste,2024,56.9,1
Eunápolis,BA,Nordeste,2024,41.41,0
Matina,BA,Nordeste,2024,47.77,0
São Borja,RS,Sul,2024,67.78,0
Marechal Deodoro,AL,Nordeste,2024,46.8,0
São Miguel das Missões,RS,Sul,2024,76.86,0
Itaipé,MG,Sudeste,2024,61.22,0
Itaperuna,RJ,Sudeste,2024,70.46,0
Capela,AL,Nordeste,2024,47.36,0
Armação dos Búzios,RJ,Sudeste,2024,69.27,0
Mambaí,GO,Centro-Oeste,2024,55.28,1
Manoel Ribas,PR,Sul,2024,69.69,1
Itumirim,MG,Sudeste,2024,62.66,1
José de Freitas,PI,Nordeste,2024,54.78,0
Silvanópolis,TO,Norte,2024,41.52,0
Sanharó,PE,Nordeste,2024,47.86,1
Pinheiral,RJ,Sudeste,2024,56.08,1
Tacaratu,PE,Nordeste,2024,60.02,1
Piranga,MG,Sudeste,2024,63.43,1
Ipanguaçu,RN,Nordeste,2024,20.1,1
Poção,PE,Nordeste,2024,65.42,0
Ortigueira,PR,Sul,2024,65.49,0
Manicoré,AM,Norte,2024,56.43,1
Pintópolis,MG,Sudeste,2024,53.21,1
Colinas,RS,Sul,2024,80.0,0
Costa Rica,MS,Centro-Oeste,2024,45.24,1
Manaus,AM,Norte,2024,56.8,0
Macau,RN,Nordeste,2024,34.46,0
Passagem,RN,Nordeste,2024,52.73,0
Passagem Franca,MA,Nordeste,2024,77.24,0
Tutóia,MA,Nordeste,2024,44.16,1
Nossa Senhora das Dores,SE,Nordeste,2024,39.64,0
Nova Ramada,RS,Sul,2024,80.0,0
Nazaré do Piauí,PI,Nordeste,2024,52.31,0
Lagoa dos Três Cantos,RS,Sul,2024,64.89,0
Wagner,BA,Nordeste,2024,57.82,0
Lassance,MG,Sudeste,2024,80.0,0
São Miguel dos Milagres,AL,Nordeste,2024,41.31,1
Poço das Antas,RS,Sul,2024,80.0,0
Fartura do Piauí,PI,Nordeste,2024,43.27,1
Harmonia,RS,Sul,2024,80.0,0
Arcoverde,PE,Nordeste,2024,62.92,1
Clevelândia,PR,Sul,2024,74.18,1
Novo Barreiro,RS,Sul,2024,65.03,0
São José de Mipibu,RN,Nordeste,2024,41.43,0
Tapes,RS,Sul,2024,62.14,0
Belo Jardim,PE,Nordeste,2024,54.67,0
Satuba,AL,Nordeste,2024,48.85,1
Iporã,PR,Sul,2024,66.75,1
São Luís Gonzaga do Maranhão,MA,Nordeste,2024,75.6,0
Emilianópolis,SP,Sudeste,2024,53.16,1
São Gonçalo do Amarante,RN,Nordeste,2024,56.91,0
Patu,RN,Nordeste,2024,39.13,0
Rio Pardo,RS,Sul,2024,74.39,0
Curitibanos,SC,Sul,2024,53.71,0
Balneário Piçarras,SC,Sul,2024,64.55,0
Carolina,MA,Nordeste,2024,50.25,1
Canhotinho,PE,Nordeste,2024,53.45,1
Alta Floresta D'Oeste,RO,Norte,2024,67.08,1
Cachoeirinha,RS,Sul,2024,61.68,0
Igrejinha,RS,Sul,2024,80.0,0
Tasso Fragoso,MA,Nordeste,2024,50.74,1
Simonésia,MG,Sudeste,2024,67.98,1
Arês,RN,Nordeste,2024,31.97,0
Santa Rosa,RS,Sul,2024,73.6,0
Sant'Ana do Livramento,RS,Sul,2024,54.72,0
Riacho de Santana,BA,Nordeste,2024,48.17,1
Coroatá,MA,Nordeste,2024,47.59,1
Paudalho,PE,Nordeste,2024,65.79,1
Mandirituba,PR,Sul,2024,79.47,0
Araruna,PR,Sul,2024,76.65,1
Campanário,MG,Sudeste,2024,64.52,0
Juiz de Fora,MG,Sudeste,2024,49.46,1
Teixeiras,MG,Sudeste,2024,76.18,0
Barra Mansa,RJ,Sudeste,2024,62.64,1
Pitanga,PR,Sul,2024,74.08,0
Rio Sono,TO,Norte,2024,35.01,0
Alto Piquiri,PR,Sul,2024,75.54,0
Rondon do Pará,PA,Norte,2024,63.45,1
Ubatuba,SP,Sudeste,2024,47.43,0
Parnaguá,PI,Nordeste,2024,69.66,0
Jaíba,MG,Sudeste,2024,48.75,1
Paulista,PB,Nordeste,2024,64.86,0
Simões Filho,BA,Nordeste,2024,48.58,0
Antonina,PR,Sul,2024,68.53,0
Padre Carvalho,MG,Sudeste,2024,52.45,1
Diamante D'Oeste,PR,Sul,2024,69.28,1
Cruzeiro do Sul,PR,Sul,2024,72.78,0
Novo Airão,AM,Norte,2024,76.5,0
Aguiarnópolis,TO,Norte,2024,32.42,1
Chácara,MG,Sudeste,2024,35.95,1
Jardim,MS,Centro-Oeste,2024,42.02,1
Conquista,MG,Sudeste,2024,70.54,0
Salto do Jacuí,RS,Sul,2024,80.0,0
Bom Jardim da Serra,SC,Sul,2024,46.82,0
Santo Antônio do Descoberto,GO,Centro-Oeste,2024,48.66,1
Santa Bárbara do Monte Verde,MG,Sudeste,2024,56.62,1
Chopinzinho,PR,Sul,2024,80.0,0
Torres,RS,Sul,2024,65.68,0
São Borja,RS,Sul,2024,67.78,0
Paranapanema,SP,Sudeste,2024,54.37,0
São José dos Basílios,MA,Nordeste,2024,19.22,1
Angra dos Reis,RJ,Sudeste,2024,60.82,0
Rio das Flores,RJ,Sudeste,2024,63.05,1
Mata Grande,AL,Nordeste,2024,46.37,0
São Pedro do Butiá,RS,Sul,2024,80.0,0
Centenário do Sul,PR,Sul,2024,58.53,1
Campo Bonito,PR,Sul,2024,73.98,1
Nova Cruz,RN,Nordeste,2024,37.61,0
Ipanguaçu,RN,Nordeste,2024,20.1,1
Uruguaiana,RS,Sul,2024,64.39,0
Alto Paraná,PR,Sul,2024,67.45,1
Canoas,RS,Sul,2024,57.6,0
Palmares,PE,Nordeste,2024,48.92,1
Batalha,AL,Nordeste,2024,40.06,1
Rosário do Ivaí,PR,Sul,2024,71.09,1
Simão Dias,SE,Nordeste,2024,40.09,1
Trindade do Sul,RS,Sul,2024,80.0,0
Tunas,RS,Sul,2024,70.11,0
Nobres,MT,Centro-Oeste,2024,60.77,0
Macambira,SE,Nordeste,2024,44.75,0
Maçambará,RS,Sul,2024,69.08,0
Rochedo de Minas,MG,Sudeste,2024,60.44,0
São Valentim,RS,Sul,2024,80.0,0
Flor do Sertão,SC,Sul,2024,80.0,0
Jateí,MS,Centro-Oeste,2024,68.83,0
Ortigueira,PR,Sul,2024,65.49,0
Nova Boa Vista,RS,Sul,2024,80.0,0
Costa Marques,RO,Norte,2024,80.0,0
São Miguel do Fidalgo,PI,Nordeste,2024,59.81,1
Guarani de Goiás,GO,Centro-Oeste,2024,39.09,1
Cajazeiras do Piauí,PI,Nordeste,2024,80.0,0
Bela Vista de Minas,MG,Sudeste,2024,66.46,1
