municipio,uf,meta,resultado,diferenca,ano
Nazaré,TO,51.46,34.23,-17.230000000000004,2024
Várzea Branca,PI,33.18,31.25,-1.9299999999999997,2024
São João das Missões,MG,47.08,33.42,-13.659999999999997,2024
Currais Novos,RN,47.33,40.74,-6.589999999999996,2024
Carrasco Bonito,TO,40.93,23.86,-17.07,2024
Alenquer,PA,43.05,45.0,1.9500000000000028,2024
Bocaina,PI,80.0,55.0,-25.0,2024
Juruti,PA,54.21,20.0,-34.21,2024
Santa Isabel do Rio Negro,AM,33.91,36.99,3.0800000000000054,2024
Cerro Negro,SC,36.07,49.84,13.770000000000003,2024
Jussiape,BA,39.08,33.33,-5.75,2024
Central,BA,37.9,25.64,-12.259999999999998,2024
São Martinho da Serra,RS,77.0,46.2,-30.799999999999997,2024
São José da Vitória,BA,38.32,27.27,-11.05,2024
Ibiquera,BA,27.17,15.62,-11.550000000000002,2024
Ataléia,MG,69.2,32.12,-37.080000000000005,2024
Chuí,RS,54.93,21.1,-33.83,2024
Lindolfo Collor,RS,69.56,47.4,-22.160000000000004,2024
Mascote,BA,29.51,26.73,-2.780000000000001,2024
Belo Campo,BA,52.89,33.06,-19.83,2024
Extremoz,RN,53.23,30.68,-22.549999999999997,2024
Barra dos Coqueiros,SE,29.32,28.65,-0.6700000000000017,2024
Malhada dos Bois,SE,46.27,37.63,-8.64,2024
Pedro Velho,RN,23.8,23.56,-0.240000000000002,2024
Vale de São Domingos,MT,53.92,23.86,-30.060000000000002,2024
Aurelino Leal,BA,48.61,33.61,-15.0,2024
Santa Isabel do Rio Negro,AM,33.91,37.7,3.7900000000000063,2024
Antônio Gonçalves,BA,39.52,25.32,-14.200000000000003,2024
São José dos Ramos,PB,62.36,27.36,-35.0,2024
Calçoene,AP,41.81,45.89,4.079999999999998,2024
São José do Bonfim,PB,18.06,29.62,11.560000000000002,2024
Milton Brandão,PI,44.03,33.33,-10.700000000000003,2024
Consolação,MG,65.38,38.89,-26.489999999999995,2024
Caranaíba,MG,71.59,83.33,11.739999999999995,2024
Tavares,RS,68.03,16.7,-51.33,2024
Itiruçu,BA,39.79,30.0,-9.79,2024
Ponte Alta,SC,47.14,44.44,-2.700000000000003,2024
Nova Cruz,RN,37.61,22.22,-15.39,2024
São Cristóvão,SE,59.87,37.5,-22.369999999999997,2024
Barra do Turvo,SP,80.0,34.89,-45.11,2024
Erebango,RS,74.36,45.2,-29.159999999999997,2024
São Domingos,SE,36.7,29.79,-6.910000000000004,2024
Catolândia,BA,16.24,25.71,9.470000000000002,2024
São Gabriel da Cachoeira,AM,43.12,31.59,-11.529999999999998,2024
Janduís,RN,30.69,37.93,7.239999999999998,2024
Bom Princípio,RS,74.68,35.0,-39.68000000000001,2024
Rondolândia,MT,36.18,45.52,9.340000000000003,2024
São Sebastião do Uatumã,AM,56.43,29.46,-26.97,2024
Pinheiro Machado,RS,69.19,34.8,-34.39,2024
Boa Vista do Incra,RS,72.67,26.6,-46.07,2024
Lavras do Sul,RS,61.56,45.7,-15.86,2024
Barra do Quaraí,RS,64.15,29.4,-34.75000000000001,2024
Inhacorá,RS,65.51,35.3,-30.210000000000008,2024
Muitos Capões,RS,70.55,29.4,-41.15,2024
Conceição do Araguaia,PA,45.08,52.94,7.859999999999999,2024
Japorã,MS,18.91,53.57,34.66,2024
Caibi,SC,76.16,27.3,-48.86,2024
Olho d'Água do Casado,AL,41.05,36.22,-4.829999999999998,2024
São Pedro do Sul,RS,77.57,45.7,-31.86999999999999,2024
Santana do Seridó,RN,56.91,40.91,-16.0,2024
Marcelino Vieira,RN,34.1,22.73,-11.370000000000001,2024
Taquaral,SP,75.76,27.27,-48.49000000000001,2024
Cambará do Sul,RS,63.31,63.6,0.28999999999999915,2024
Areia de Baraúnas,PB,32.22,36.36,4.140000000000001,2024
Mar Vermelho,AL,62.46,57.65,-4.810000000000002,2024
Quaraí,RS,58.95,36.3,-22.650000000000006,2024
Pratápolis,MG,65.46,25.0,-40.459999999999994,2024
