municipio,uf,meta,resultado,diferenca,ano
Tanque d'Arca,AL,48.08,53.45,5.3700000000000045,2024
Carapebus,RJ,55.79,59.54,3.75,2024
Mozarlândia,GO,55.96,66.57,10.609999999999992,2024
Rio Claro,RJ,67.93,65.54,-2.3900000000000006,2024
Simão Dias,SE,40.09,30.35,-9.740000000000002,2024
Bagé,RS,64.98,36.6,-28.380000000000003,2024
Salvador,BA,45.52,36.75,-8.770000000000003,2024
Tamandaré,PE,50.56,57.18,6.619999999999997,2024
Diamantino,MT,56.72,46.32,-10.399999999999999,2024
Três Rios,RJ,57.88,51.43,-6.450000000000003,2024
Presidente Médici,RO,65.31,71.14,5.829999999999998,2024
Iguaí,BA,54.55,31.48,-23.069999999999997,2024
Conceição do Tocantins,TO,34.78,35.8,1.019999999999996,2024
Santo Antônio de Jesus,BA,40.35,40.9,0.5499999999999972,2024
Pariconha,AL,47.56,34.4,-13.160000000000004,2024
Camargo,RS,80.0,55.6,-24.4,2024
Arinos,MG,50.89,48.56,-2.3299999999999983,2024
Canguaretama,RN,44.21,32.26,-11.950000000000003,2024
Japi,RN,21.97,31.34,9.370000000000001,2024
Salvador,BA,45.52,36.85,-8.670000000000002,2024
Novo Airão,AM,76.5,59.26,-17.240000000000002,2024
Alvorada,RS,52.0,36.2,-15.799999999999997,2024
Presidente Jânio Quadros,BA,37.48,31.78,-5.699999999999996,2024
Jequié,BA,44.37,39.48,-4.890000000000001,2024
Jaguaripe,BA,33.07,46.85,13.780000000000001,2024
Terenos,MS,63.66,47.09,-16.569999999999993,2024
Prudente de Morais,MG,57.41,70.09,12.680000000000007,2024
Manari,PE,60.73,52.89,-7.839999999999996,2024
Paragominas,PA,65.34,56.72,-8.620000000000005,2024
Baianópolis,BA,46.14,35.92,-10.219999999999999,2024
Dois Irmãos,RS,78.68,61.2,-17.480000000000004,2024
Apuí,AM,60.64,64.17,3.530000000000001,2024
Jaru,RO,65.65,65.15,-0.5,2024
Ilha Grande,PI,46.17,34.84,-11.329999999999998,2024
Santo Antônio,RN,68.69,35.59,-33.099999999999994,2024
Poções,BA,49.79,42.93,-6.859999999999999,2024
Nova Palma,RS,80.0,62.7,-17.299999999999997,2024
Jaru,RO,65.65,63.99,-1.6600000000000037,2024
Santa Luz,PI,80.0,55.68,-24.32,2024
Ji-Paraná,RO,80.0,58.73,-21.270000000000003,2024
Rio Vermelho,MG,49.66,74.26,24.60000000000001,2024
Guaíba,RS,54.7,31.5,-23.200000000000003,2024
Sangão,SC,70.98,38.53,-32.45,2024
Itambacuri,MG,56.29,57.69,1.3999999999999986,2024
Santo Cristo,RS,76.62,60.5,-16.120000000000005,2024
Duas Estradas,PB,16.94,60.0,43.06,2024
Montividiu do Norte,GO,62.79,65.74,2.9499999999999957,2024
Ananindeua,PA,62.51,53.37,-9.14,2024
Joaquim Gomes,AL,40.35,27.93,-12.420000000000002,2024
Paulo Afonso,BA,32.01,30.51,-1.4999999999999964,2024
Sinimbu,RS,71.29,36.3,-34.99000000000001,2024
Macau,RN,34.46,32.94,-1.5200000000000031,2024
Varzedo,BA,49.91,40.0,-9.909999999999997,2024
Nova Candelária,RS,80.0,60.0,-20.0,2024
Ubatã,BA,38.45,41.9,3.4499999999999957,2024
Amélia Rodrigues,BA,44.02,47.14,3.1199999999999974,2024
Manaus,AM,56.8,51.37,-5.43,2024
Pinhal de São Bento,PR,80.0,97.14,17.14,2024
Pariconha,AL,47.56,56.98,9.419999999999995,2024
Antônio Carlos,MG,78.32,71.65,-6.6699999999999875,2024
Campo Belo do Sul,SC,47.83,45.29,-2.539999999999999,2024
Feliz,RS,73.9,51.1,-22.800000000000004,2024
Saudade do Iguaçu,PR,80.0,85.49,5.489999999999995,2024
Aracaju,SE,36.8,47.18,10.380000000000003,2024
Guaraçaí,SP,58.6,60.72,2.1199999999999974,2024
Bom Sucesso,PB,67.77,45.24,-22.529999999999994,2024
Pedra,PE,52.41,54.87,2.460000000000001,2024
Rosário,MA,60.53,57.6,-2.9299999999999997,2024
Moreira Sales,PR,79.43,78.01,-1.4200000000000017,2024
Capim Grosso,BA,33.41,29.34,-4.069999999999997,2024
Jacarezinho,PR,59.25,47.68,-11.57,2024
São Domingos do Maranhão,MA,47.88,50.11,2.229999999999997,2024
São Paulo de Olivença,AM,40.03,58.16,18.129999999999995,2024
Marcação,PB,70.7,24.23,-46.47,2024
Piritiba,BA,48.97,40.58,-8.39,2024
Pariconha,AL,47.56,68.76,21.200000000000003,2024
Monte Alegre dos Campos,RS,66.01,36.2,-29.810000000000002,2024
Macaíba,RN,36.28,30.44,-5.84,2024
Peixe,TO,51.92,42.93,-8.990000000000002,2024
Viamão,RS,62.36,36.7,-25.659999999999997,2024
São Félix do Araguaia,MT,41.62,33.38,-8.239999999999995,2024
Cachoeira do Piriá,PA,53.0,52.04,-0.9600000000000009,2024
Tuparendi,RS,80.0,52.7,-27.299999999999997,2024
Maricá,RJ,60.52,59.97,-0.5500000000000043,2024
Adrianópolis,PR,63.38,60.95,-2.4299999999999997,2024
Teixeira de Freitas,BA,56.5,35.04,-21.46,2024
Itaberaba,BA,48.23,41.07,-7.159999999999997,2024
Figueirópolis D'Oeste,MT,80.0,58.78,-21.22,2024
Capitão Poço,PA,55.77,48.98,-6.790000000000006,2024
Congonhas do Norte,MG,80.0,60.49,-19.509999999999998,2024
Pinhalzinho,SC,78.51,70.54,-7.969999999999999,2024
São Miguel das Matas,BA,35.91,36.76,0.8500000000000014,2024
Balneário Pinhal,RS,61.97,43.6,-18.369999999999997,2024
Alagoinhas,BA,40.44,36.64,-3.799999999999997,2024
Elísio Medrado,BA,37.06,35.29,-1.7700000000000031,2024
Valente,BA,39.21,37.25,-1.9600000000000009,2024
Itaíba,PE,62.9,58.6,-4.299999999999997,2024
Vila Maria,RS,80.0,57.4,-22.6,2024
Santo Antônio do Içá,AM,63.05,63.3,0.25,2024
Vera Cruz,RS,68.66,44.5,-24.159999999999997,2024
Rafael Fernandes,RN,59.65,39.27,-20.379999999999995,2024
Pinhão,PR,64.88,61.33,-3.549999999999997,2024
Heitoraí,GO,57.96,83.54,25.580000000000005,2024
Seabra,BA,53.8,34.98,-18.82,2024
Caparaó,MG,63.44,67.92,4.480000000000004,2024
Caetés,PE,51.32,57.25,5.93,2024
Camamu,BA,33.17,28.39,-4.780000000000001,2024
Guaíba,RS,54.7,32.7,-22.0,2024
Nova Itarana,BA,39.89,34.65,-5.240000000000002,2024
Ananindeua,PA,62.51,52.74,-9.769999999999996,2024
Campo Erê,SC,64.05,48.28,-15.769999999999996,2024
Abelardo Luz,SC,67.3,34.52,-32.779999999999994,2024
Marcelino Vieira,RN,34.1,26.79,-7.310000000000002,2024
Joaquim Gomes,AL,40.35,27.68,-12.670000000000002,2024
Frederico Westphalen,RS,65.99,53.8,-12.189999999999998,2024
Raposa,MA,69.98,48.35,-21.630000000000003,2024
Rio Grande do Piauí,PI,53.74,41.79,-11.950000000000003,2024
Ribeira do Pombal,BA,41.2,40.72,-0.480000000000004,2024
Icaraíma,PR,74.31,51.76,-22.550000000000004,2024
Boca do Acre,AM,62.56,49.61,-12.950000000000003,2024
Salinas da Margarida,BA,53.07,45.77,-7.299999999999997,2024
Breves,PA,49.78,55.58,5.799999999999997,2024
Palmares do Sul,RS,57.88,45.2,-12.68,2024
Palmeira dos Índios,AL,39.15,38.7,-0.44999999999999574,2024
Jaguarari,BA,37.63,40.77,3.1400000000000006,2024
Itamarati,AM,72.11,82.23,10.120000000000005,2024
Santo Estêvão,BA,39.59,31.86,-7.730000000000004,2024
Santa Fé do Araguaia,TO,23.48,31.33,7.849999999999998,2024
Canapi,AL,51.08,62.21,11.130000000000003,2024
Parnarama,MA,80.0,54.65,-25.35,2024
Cruzeiro do Sul,RS,70.11,35.2,-34.91,2024
Santa Maria,RS,67.72,39.7,-28.019999999999996,2024
Palmeira dos Índios,AL,39.15,38.67,-0.4799999999999969,2024
Coxim,MS,45.99,39.19,-6.800000000000004,2024
Mostardas,RS,56.1,40.3,-15.800000000000004,2024
Moreilândia,PE,49.94,56.94,7.0,2024
São João da Barra,RJ,56.73,58.22,1.490000000000002,2024
Quedas do Iguaçu,PR,73.0,61.62,-11.380000000000003,2024
Santa Fé de Goiás,GO,77.35,92.78,15.430000000000007,2024
Antônio Cardoso,BA,40.74,25.76,-14.98,2024
Paulista,PE,55.98,18.18,-37.8,2024
Álvaro de Carvalho,SP,58.95,58.33,-0.6200000000000045,2024
Alvorada,RS,52.0,37.0,-15.0,2024
Santo Antônio de Lisboa,PI,64.31,55.71,-8.600000000000001,2024
Chalé,MG,80.0,62.53,-17.47,2024
Abaíra,BA,41.37,42.42,1.0500000000000043,2024
Indiavaí,MT,50.4,67.61,17.21,2024
Paripueira,AL,57.82,35.8,-22.020000000000003,2024
Muricilândia,TO,24.82,49.28,24.46,2024
Correia Pinto,SC,63.0,56.97,-6.030000000000001,2024
Inajá,PR,74.7,69.71,-4.990000000000009,2024
São Félix do Coribe,BA,59.05,36.59,-22.459999999999994,2024
Simão Dias,SE,40.09,35.97,-4.1200000000000045,2024
Restinga Seca,RS,51.07,42.4,-8.670000000000002,2024
Padre Paraíso,MG,54.04,57.39,3.3500000000000014,2024
Vila Nova do Sul,RS,54.11,44.0,-10.11,2024
Banzaê,BA,46.98,36.73,-10.25,2024
Jitaúna,BA,31.37,40.82,9.45,2024
São Domingos,GO,51.24,65.94,14.699999999999996,2024
Montenegro,RS,68.22,39.8,-28.42,2024
Santa Maria,RS,67.72,40.3,-27.42,2024
Monte Alegre,PA,58.27,46.69,-11.580000000000005,2024
Piraquara,PR,61.92,50.54,-11.380000000000003,2024
Barra do Quaraí,RS,64.15,26.6,-37.550000000000004,2024
Itapé,BA,37.65,35.38,-2.269999999999996,2024
Ibirataia,BA,39.72,37.44,-2.280000000000001,2024
Tacaimbó,PE,51.45,43.99,-7.460000000000001,2024
Porciúncula,RJ,42.11,52.38,10.270000000000003,2024
Mundo Novo,MS,80.0,49.43,-30.57,2024
São Lourenço da Mata,PE,49.84,53.32,3.479999999999997,2024
Cândido Sales,BA,44.57,30.86,-13.71,2024
São João do Tigre,PB,43.34,48.38,5.039999999999999,2024
Chuí,RS,54.93,45.9,-9.030000000000001,2024
Rio Preto,MG,72.56,62.04,-10.520000000000003,2024
Alto Alegre do Maranhão,MA,71.78,51.5,-20.28,2024
São Bento do Una,PE,59.89,64.03,4.140000000000001,2024
União de Minas,MG,73.46,72.68,-0.7799999999999869,2024
Cipó,BA,35.07,31.09,-3.9800000000000004,2024
Glorinha,RS,67.53,34.3,-33.230000000000004,2024
Tupaciguara,MG,45.41,58.34,12.930000000000007,2024
Ariquemes,RO,65.22,65.62,0.4000000000000057,2024
Cabeceira Grande,MG,46.7,54.59,7.890000000000001,2024
Rio do Pires,BA,43.13,15.62,-27.510000000000005,2024
Maceió,AL,45.58,38.97,-6.609999999999999,2024
Tucano,BA,36.12,35.55,-0.5700000000000003,2024
Contendas do Sincorá,BA,31.22,40.62,9.399999999999999,2024
Neópolis,SE,28.33,43.18,14.850000000000001,2024
Chã de Alegria,PE,65.79,63.28,-2.510000000000005,2024
Humaitá,AM,55.15,60.51,5.359999999999999,2024
Esperança Nova,PR,48.13,71.04,22.910000000000004,2024
Doutor Camargo,PR,79.25,60.84,-18.409999999999997,2024
Senador Rui Palmeira,AL,56.54,57.08,0.5399999999999991,2024
Minador do Negrão,AL,37.11,27.99,-9.120000000000001,2024
Uruçuca,BA,37.1,26.42,-10.68,2024
Maceió,AL,45.58,40.58,-5.0,2024
Morro Reuter,RS,56.24,66.3,10.059999999999995,2024
Rubim,MG,80.0,63.6,-16.4,2024
Saquarema,RJ,66.24,62.51,-3.729999999999997,2024
Rosário do Catete,SE,45.54,39.01,-6.530000000000001,2024
Santa Maria,RS,67.72,41.4,-26.32,2024
Maceió,AL,45.58,40.95,-4.6299999999999955,2024
São Bernardo,MA,75.28,67.87,-7.409999999999997,2024
Campestre,AL,47.36,62.12,14.759999999999998,2024
Malhada,BA,32.45,33.68,1.2299999999999969,2024
Corumbiara,RO,61.82,72.68,10.860000000000007,2024
Ponte Alta,SC,47.14,60.53,13.39,2024
Anahy,PR,65.3,69.97,4.670000000000002,2024
Tabaí,RS,63.05,22.5,-40.55,2024
Francisco Ayres,PI,52.61,32.38,-20.229999999999997,2024
Mundo Novo,BA,33.82,33.33,-0.490000000000002,2024
Taquara,RS,66.57,45.8,-20.769999999999996,2024
Dourados,MS,46.65,48.21,1.5600000000000023,2024
São Miguel das Missões,RS,76.86,47.5,-29.36,2024
Carpina,PE,67.68,59.18,-8.500000000000007,2024
Machadinho D'Oeste,RO,56.12,64.75,8.630000000000003,2024
Godofredo Viana,MA,80.0,88.4,8.400000000000006,2024
Arapiraca,AL,45.77,43.75,-2.020000000000003,2024
Igreja Nova,AL,53.17,50.74,-2.4299999999999997,2024
Capão do Leão,RS,53.81,28.2,-25.610000000000003,2024
São Leopoldo,RS,60.83,37.5,-23.33,2024
Brejolândia,BA,47.23,40.43,-6.799999999999997,2024
Jaramataia,AL,42.72,40.27,-2.4499999999999957,2024
Guatambú,SC,50.17,42.94,-7.230000000000004,2024
Codó,MA,52.32,50.85,-1.4699999999999989,2024
Axixá do Tocantins,TO,37.42,40.2,2.780000000000001,2024
São Sebastião do Umbuzeiro,PB,80.0,69.29,-10.709999999999994,2024
Fronteira dos Vales,MG,43.82,58.66,14.839999999999996,2024
Erval Seco,RS,69.44,50.4,-19.04,2024
Quedas do Iguaçu,PR,73.0,62.11,-10.89,2024
Marliéria,MG,64.77,70.98,6.210000000000008,2024
Ribeira do Piauí,PI,61.44,54.84,-6.599999999999994,2024
Riachuelo,SE,17.27,31.48,14.21,2024
Dom Basílio,BA,53.52,42.74,-10.780000000000001,2024
Novo Brasil,GO,80.0,54.84,-25.159999999999997,2024
Amorinópolis,GO,72.21,80.65,8.440000000000012,2024
Macaé,RJ,63.19,59.46,-3.729999999999997,2024
Virgolândia,MG,80.0,70.97,-9.030000000000001,2024
Urucará,AM,60.83,73.95,13.120000000000005,2024
Cruz das Almas,BA,41.43,33.56,-7.869999999999997,2024
Uauá,BA,50.59,40.28,-10.310000000000002,2024
Barão de Grajaú,MA,47.68,51.56,3.8800000000000026,2024
Brejinho de Nazaré,TO,44.57,49.45,4.880000000000003,2024
Abel Figueiredo,PA,63.15,54.88,-8.269999999999996,2024
Bezerros,PE,56.18,56.84,0.6600000000000037,2024
Francisco Sá,MG,47.71,59.61,11.899999999999999,2024
Alvorada D'Oeste,RO,36.33,68.33,32.0,2024
Alto Alegre dos Parecis,RO,71.19,79.54,8.350000000000009,2024
Viamão,RS,62.36,38.9,-23.46,2024
Viana,MA,61.88,53.36,-8.520000000000003,2024
São Luís do Quitunde,AL,45.9,53.64,7.740000000000002,2024
Palmeirina,PE,63.78,59.45,-4.329999999999998,2024
Belém de Maria,PE,72.62,79.67,7.049999999999997,2024
Codajás,AM,49.49,40.59,-8.899999999999999,2024
Salvador do Sul,RS,80.0,70.4,-9.599999999999994,2024
Caetité,BA,54.21,39.02,-15.189999999999998,2024
Belém,PA,53.42,57.47,4.049999999999997,2024
Cidade Gaúcha,PR,67.22,63.42,-3.799999999999997,2024
Lindolfo Collor,RS,69.56,36.1,-33.46,2024
São José do Povo,MT,80.0,74.75,-5.25,2024
Água Branca,AL,52.49,48.8,-3.690000000000005,2024
Jesuítas,PR,80.0,89.98,9.980000000000004,2024
Abelardo Luz,SC,67.3,56.3,-11.0,2024
Cacoal,RO,65.39,65.81,0.4200000000000017,2024
Biquinhas,MG,80.0,58.22,-21.78,2024
Ibitiara,BA,65.11,37.36,-27.75,2024
Olho d'Água das Flores,AL,46.38,45.46,-0.9200000000000017,2024
Boa Ventura de São Roque,PR,75.58,60.49,-15.089999999999996,2024
Nova Cantu,PR,79.57,88.03,8.460000000000008,2024
João Câmara,RN,29.74,35.88,6.140000000000004,2024
Espigão D'Oeste,RO,80.0,62.76,-17.240000000000002,2024
Mirabela,MG,62.46,54.27,-8.189999999999998,2024
Grandes Rios,PR,67.46,61.6,-5.859999999999992,2024
Bacuri,MA,69.66,57.55,-12.11,2024
Urucará,AM,60.83,74.89,14.060000000000002,2024
Pedrão,BA,27.85,13.33,-14.520000000000001,2024
Aroazes,PI,61.39,30.0,-31.39,2024
Bom Jesus da Serra,BA,47.9,24.44,-23.459999999999997,2024
São José do Sabugi,PB,56.21,48.54,-7.670000000000002,2024
Ibarama,RS,72.44,41.4,-31.04,2024
Pindaí,BA,72.46,38.33,-34.129999999999995,2024
Mimoso de Goiás,GO,68.83,80.0,11.170000000000002,2024
Conceição das Pedras,MG,61.58,76.67,15.090000000000003,2024
Aperibé,RJ,62.76,68.41,5.649999999999999,2024
Lábrea,AM,66.9,68.07,1.1699999999999875,2024
Guaribas,PI,61.72,75.0,13.280000000000001,2024
Santa Vitória do Palmar,RS,59.99,47.2,-12.79,2024
Abelardo Luz,SC,67.3,59.88,-7.419999999999995,2024
Araruama,RJ,55.66,55.89,0.23000000000000398,2024
Senador Amaral,MG,71.75,63.76,-7.990000000000002,2024
Paranaguá,PR,64.89,61.71,-3.1799999999999997,2024
Presidente Médici,RO,65.31,67.81,2.5,2024
Itambé,PE,53.71,43.31,-10.399999999999999,2024
Nova Alvorada do Sul,MS,43.79,56.52,12.730000000000004,2024
Além Paraíba,MG,70.71,55.1,-15.609999999999992,2024
São Felipe D'Oeste,RO,57.76,78.36,20.6,2024
Lagoa do Piauí,PI,11.95,44.87,32.92,2024
Nossa Senhora de Lourdes,SE,26.18,58.77,32.59,2024
Chã Grande,PE,59.42,58.51,-0.9100000000000037,2024
Jataizinho,PR,65.3,60.93,-4.369999999999997,2024
Rosário do Sul,RS,41.94,38.4,-3.539999999999999,2024
Campo Magro,PR,63.18,57.97,-5.210000000000001,2024
Delfinópolis,MG,79.34,68.3,-11.040000000000006,2024
Pedro do Rosário,MA,68.13,57.92,-10.209999999999994,2024
Cacoal,RO,65.39,66.07,0.6799999999999926,2024
Guaíba,RS,54.7,36.9,-17.800000000000004,2024
São Lourenço do Sul,RS,79.22,51.6,-27.619999999999997,2024
Arroio dos Ratos,RS,46.7,40.8,-5.900000000000006,2024
Rosário do Sul,RS,41.94,36.7,-5.239999999999995,2024
Paraíba do Sul,RJ,54.89,51.96,-2.9299999999999997,2024
Carazinho,RS,66.52,42.0,-24.519999999999996,2024
Manacapuru,AM,49.77,47.46,-2.3100000000000023,2024
Itapecuru Mirim,MA,57.76,60.47,2.710000000000001,2024
Minas do Leão,RS,74.31,33.6,-40.71,2024
Canápolis,BA,43.85,29.55,-14.3,2024
São Leopoldo,RS,60.83,37.2,-23.629999999999995,2024
Piratini,RS,63.34,42.8,-20.540000000000006,2024
Itajuípe,BA,41.18,34.09,-7.089999999999996,2024
Cerro Grande do Sul,RS,61.22,45.0,-16.22,2024
Medicilândia,PA,54.08,48.44,-5.640000000000001,2024
Mariluz,PR,65.33,52.21,-13.119999999999997,2024
Pirapetinga,MG,65.52,66.15,0.6300000000000097,2024
Gurinhém,PB,41.85,27.02,-14.830000000000002,2024
Rosário do Sul,RS,41.94,34.1,-7.839999999999996,2024
Terenos,MS,63.66,49.64,-14.019999999999996,2024
Campos Borges,RS,33.67,33.9,0.22999999999999687,2024
Parobé,RS,61.51,37.8,-23.71,2024
Bujaru,PA,56.12,51.61,-4.509999999999998,2024
Tabatinga,AM,47.62,51.68,4.060000000000002,2024
São José do Vale do Rio Preto,RJ,72.76,76.78,4.019999999999996,2024
Mostardas,RS,56.1,40.8,-15.300000000000004,2024
Santa Cecília,SC,68.59,57.41,-11.180000000000007,2024
José Boiteux,SC,43.68,52.77,9.090000000000003,2024
Itaiópolis,SC,67.88,55.99,-11.889999999999993,2024
Zabelê,PB,80.0,64.73,-15.269999999999996,2024
Alagoa Grande,PB,38.31,28.48,-9.830000000000002,2024
Canela,RS,78.87,42.2,-36.67,2024
Pedra Bonita,MG,64.45,65.52,1.0699999999999932,2024
Grajaú,MA,48.35,45.8,-2.5500000000000043,2024
São Sebastião do Alto,RJ,66.38,49.68,-16.699999999999996,2024
São Nicolau,RS,61.56,53.9,-7.660000000000004,2024
São Francisco de Assis do Piauí,PI,40.51,36.86,-3.6499999999999986,2024
Diamante,PB,32.22,72.15,39.93000000000001,2024
Xangri-lá,RS,60.68,37.9,-22.78,2024
Paulo Lopes,SC,65.85,40.02,-25.82999999999999,2024
Ilópolis,RS,80.0,48.3,-31.700000000000003,2024
Sirinhaém,PE,63.56,74.49,10.929999999999993,2024
Antônio Olinto,PR,80.0,88.26,8.260000000000005,2024
Coronel Pacheco,MG,80.0,59.91,-20.090000000000003,2024
Benevides,PA,63.8,65.28,1.480000000000004,2024
Petrópolis,RJ,65.4,64.81,-0.5900000000000034,2024
Governador Edison Lobão,MA,80.0,67.46,-12.540000000000006,2024
Sertanópolis,PR,68.91,61.98,-6.93,2024
Santana,BA,37.01,38.7,1.6900000000000048,2024
Espumoso,RS,80.0,53.3,-26.700000000000003,2024
Quaraí,RS,58.95,46.6,-12.350000000000001,2024
Sombrio,SC,67.39,49.72,-17.67,2024
Manga,MG,31.24,41.78,10.540000000000003,2024
Colinas,MA,62.9,49.9,-13.0,2024
Monte Alegre de Sergipe,SE,31.99,35.07,3.080000000000002,2024
São José do Ouro,RS,65.42,38.3,-27.120000000000005,2024
Macarani,BA,54.13,44.74,-9.39,2024
Camaragibe,PE,62.2,57.57,-4.630000000000003,2024
Itinga,MG,56.85,58.55,1.6999999999999957,2024
Floresta,PE,40.31,51.67,11.36,2024
Benevides,PA,63.8,65.29,1.490000000000009,2024
Serra da Raiz,PB,24.28,48.92,24.64,2024
Taquara,RS,66.57,45.0,-21.569999999999993,2024
Jaçanã,RN,52.38,39.09,-13.29,2024
Carauari,AM,52.7,76.56,23.86,2024
Nova Olinda,TO,32.67,40.7,8.030000000000001,2024
Theobroma,RO,55.53,78.73,23.200000000000003,2024
Tramandaí,RS,58.64,40.2,-18.439999999999998,2024
Vitória da Conquista,BA,53.11,42.75,-10.36,2024
Penedo,AL,47.02,43.12,-3.9000000000000057,2024
Medeiros Neto,BA,56.17,46.9,-9.270000000000003,2024
Limoeiro do Ajuru,PA,52.92,47.82,-5.100000000000001,2024
Guia Lopes da Laguna,MS,52.3,64.58,12.280000000000001,2024
Nanuque,MG,56.6,57.67,1.0700000000000003,2024
Porto Amazonas,PR,71.41,76.84,5.430000000000007,2024
Itumirim,MG,62.66,73.75,11.090000000000003,2024
Alvarães,AM,46.19,65.06,18.870000000000005,2024
Santo Antônio do Jacinto,MG,65.75,65.72,-0.030000000000001137,2024
Rio Brilhante,MS,46.43,52.67,6.240000000000002,2024
São Caitano,PE,50.74,53.17,2.4299999999999997,2024
Jaíba,MG,48.75,63.5,14.75,2024
Candeias do Jamari,RO,54.05,51.63,-2.4199999999999946,2024
Lagoa de Velhos,RN,47.75,29.67,-18.08,2024
Passa e Fica,RN,31.79,41.07,9.280000000000001,2024
Abreulândia,TO,65.03,75.0,9.969999999999999,2024
Flores do Piauí,PI,52.23,43.3,-8.93,2024
Planaltino,BA,58.12,42.86,-15.259999999999998,2024
União do Oeste,SC,69.44,65.0,-4.439999999999998,2024
Caetanos,BA,32.08,46.43,14.350000000000001,2024
Nacip Raydan,MG,62.21,62.86,0.6499999999999986,2024
Barreiras do Piauí,PI,44.83,50.77,5.940000000000005,2024
Jateí,MS,68.83,58.4,-10.43,2024
Colinas do Sul,GO,65.56,58.9,-6.660000000000004,2024
São Gonçalo do Gurguéia,PI,77.0,60.71,-16.29,2024
Bom Jardim de Minas,MG,52.98,60.13,7.150000000000006,2024
Pio XII,MA,32.07,63.6,31.53,2024
Taquarana,AL,49.8,38.96,-10.839999999999996,2024
Tapes,RS,62.14,59.3,-2.8400000000000034,2024
Maripá,PR,80.0,76.69,-3.3100000000000023,2024
Poção de Pedras,MA,80.0,77.27,-2.730000000000004,2024
Peri Mirim,MA,42.07,61.02,18.950000000000003,2024
Santa Cruz de Minas,MG,66.51,43.82,-22.690000000000005,2024
Bodoquena,MS,50.32,46.43,-3.8900000000000006,2024
Vitória de Santo Antão,PE,51.59,50.66,-0.9300000000000068,2024
Águas Lindas de Goiás,GO,54.0,53.9,-0.10000000000000142,2024
Vila Pavão,ES,75.41,61.4,-14.009999999999998,2024
Lajedo,PE,52.98,57.42,4.440000000000005,2024
Bento Gonçalves,RS,77.77,44.3,-33.47,2024
Adustina,BA,50.37,42.45,-7.919999999999995,2024
Mutuípe,BA,61.96,48.92,-13.04,2024
Itabaianinha,SE,62.52,58.61,-3.9100000000000037,2024
Califórnia,PR,80.0,69.28,-10.719999999999999,2024
Ibicoara,BA,35.04,32.53,-2.509999999999998,2024
Vacaria,RS,68.24,38.1,-30.139999999999993,2024
Sant'Ana do Livramento,RS,54.72,47.9,-6.82,2024
Amargosa,BA,55.84,51.0,-4.840000000000003,2024
Floraí,PR,77.73,85.2,7.469999999999999,2024
Buriti Bravo,MA,38.42,57.18,18.759999999999998,2024
Santa Inês,MA,52.49,48.48,-4.010000000000005,2024
Bom Jesus do Norte,ES,69.22,67.33,-1.8900000000000006,2024
Ibimirim,PE,55.58,61.76,6.18,2024
Mato Verde,MG,70.78,61.37,-9.410000000000004,2024
Bom Jardim da Serra,SC,46.82,28.72,-18.1,2024
Carnaúba dos Dantas,RN,67.88,29.88,-38.0,2024
Humaitá,AM,55.15,57.65,2.5,2024
Encruzilhada do Sul,RS,66.52,39.4,-27.119999999999997,2024
Sobradinho,RS,80.0,55.0,-25.0,2024
Uruguaiana,RS,64.39,47.3,-17.090000000000003,2024
Feira Grande,AL,41.94,44.46,2.520000000000003,2024
Candói,PR,74.4,64.69,-9.710000000000008,2024
Matinhos,PR,71.91,63.15,-8.759999999999998,2024
Bocaina de Minas,MG,54.93,73.33,18.4,2024
Lajeado,TO,46.67,38.15,-8.520000000000003,2024
São Borja,RS,67.78,51.3,-16.480000000000004,2024
Orleans,SC,68.14,68.14,0.0,2024
Antas,BA,49.89,23.17,-26.72,2024
Santa Inês,PB,57.18,39.01,-18.17,2024
São Gabriel,RS,64.25,46.6,-17.65,2024
Jangada,MT,59.89,54.87,-5.020000000000003,2024
Viçosa,MG,65.52,72.11,6.590000000000003,2024
Conceição da Barra de Minas,MG,70.55,70.43,-0.11999999999999034,2024
Porto Calvo,AL,43.17,45.99,2.8200000000000003,2024
Irecê,BA,48.05,46.83,-1.2199999999999989,2024
Borba,AM,35.51,54.12,18.61,2024
Dom Eliseu,PA,62.75,69.24,6.489999999999995,2024
Itaipé,MG,61.22,55.18,-6.039999999999999,2024
Novo Hamburgo,RS,65.27,36.0,-29.269999999999996,2024
Novo Hamburgo,RS,65.27,37.0,-28.269999999999996,2024
Andaraí,BA,50.48,47.79,-2.6899999999999977,2024
Novo Hamburgo,RS,65.27,57.4,-7.869999999999997,2024
Ibiporã,PR,74.39,64.9,-9.489999999999995,2024
Pedro Osório,RS,69.69,34.3,-35.39,2024
Ladário,MS,32.39,33.36,0.9699999999999989,2024
Taquara,RS,66.57,44.6,-21.96999999999999,2024
Cachoeirinha,RS,61.68,40.5,-21.18,2024
Itaobim,MG,54.67,52.98,-1.6900000000000048,2024
Foz do Jordão,PR,80.0,78.1,-1.9000000000000057,2024
Santa Cruz da Vitória,BA,50.76,37.04,-13.719999999999999,2024
Cristália,MG,33.57,54.17,20.6,2024
Picada Café,RS,80.0,57.1,-22.9,2024
Porangatu,GO,56.34,49.92,-6.420000000000002,2024
São Francisco do Guaporé,RO,68.1,62.99,-5.109999999999992,2024
Itambacuri,MG,56.29,57.33,1.0399999999999991,2024
Gentio do Ouro,BA,50.71,54.32,3.6099999999999994,2024
Juramento,MG,65.99,55.56,-10.429999999999993,2024
